[Header]
Date        	30/06/2016
Time        	17:26
File Name   	CABLE-smf-3km-1
Soft Version	7.38
Base Name   	T-BERD 8000
Base SN     	10807
Module Name	81DISPAP
Module SN   	1338
Status      	PASS
Operator    	
Comment     	
BBS Type    	BBS-SCL
BBS SN      	0
Ref. Date   	30/06/2016 17:02

[Fiber]
Origin                	abc
Extremity             	xyz
Direction             	abc -> xyz
Cable Id Origin       	CABLE
Fiber Id Origin       	FIBER
Fiber Code Origin     	
Cable Id Extremity    	CABLE
Fiber Id Extremity    	FIBER
Fiber Code Extremity  	

[Setup]
Lambda Range        	1260-1640
Fiber Length        	Unknown
Approx. formula     	Quadratic
Normalized to km    	No

[Results]
Wavelength(nm)	Delay(ps)	Disp.(ps/nm)	Coef. Disp.(ps/nm.km)	Slope(ps/nm.nm)	
     1528.77	   -1052.718	      46.922	                  ---	       0.168	
     1529.16	   -1033.903	      46.989	                  ---	       0.168	
     1529.55	   -1015.088	      47.056	                  ---	       0.168	
     1529.94	    -998.662	      47.116	                  ---	       0.168	
     1530.33	    -979.847	      47.183	                  ---	       0.168	
     1530.72	    -961.032	      47.250	                  ---	       0.168	
     1531.12	    -941.919	      47.317	                  ---	       0.168	
     1531.51	    -923.104	      47.384	                  ---	       0.168	
     1531.90	    -906.379	      47.444	                  ---	       0.168	
     1532.29	    -887.564	      47.511	                  ---	       0.168	
     1532.68	    -868.451	      47.578	                  ---	       0.168	
     1533.07	    -849.337	      47.645	                  ---	       0.168	
     1533.47	    -830.223	      47.712	                  ---	       0.168	
     1533.86	    -811.110	      47.779	                  ---	       0.168	
     1534.25	    -791.996	      47.846	                  ---	       0.168	
     1534.64	    -775.272	      47.906	                  ---	       0.168	
     1535.04	    -756.158	      47.973	                  ---	       0.168	
     1535.43	    -737.045	      48.040	                  ---	       0.168	
     1535.82	    -717.632	      48.107	                  ---	       0.168	
     1536.22	    -698.519	      48.174	                  ---	       0.168	
     1536.61	    -679.106	      48.241	                  ---	       0.168	
     1537.00	    -659.993	      48.310	                  ---	       0.168	
     1537.40	    -642.970	      48.368	                  ---	       0.168	
     1537.79	    -623.557	      48.435	                  ---	       0.168	
     1538.19	    -604.145	      48.502	                  ---	       0.168	
     1538.58	    -584.733	      48.569	                  ---	       0.168	
     1538.98	    -565.321	      48.636	                  ---	       0.168	
     1539.37	    -545.908	      48.705	                  ---	       0.168	
     1539.77	    -526.496	      48.772	                  ---	       0.168	
     1540.16	    -506.785	      48.839	                  ---	       0.168	
     1540.56	    -487.373	      48.906	                  ---	       0.168	
     1540.95	    -467.662	      48.973	                  ---	       0.168	
     1541.35	    -450.639	      49.033	                  ---	       0.168	
     1541.75	    -430.928	      49.100	                  ---	       0.168	
     1542.14	    -411.217	      49.167	                  ---	       0.168	
     1542.54	    -391.506	      49.234	                  ---	       0.168	
     1542.94	    -371.795	      49.301	                  ---	       0.168	
     1543.33	    -352.084	      49.368	                  ---	       0.168	
     1543.73	    -332.374	      49.435	                  ---	       0.168	
     1544.13	    -312.663	      49.502	                  ---	       0.168	
     1544.53	    -292.952	      49.570	                  ---	       0.168	
     1544.92	    -272.942	      49.638	                  ---	       0.168	
     1545.32	    -253.231	      49.705	                  ---	       0.168	
     1545.72	    -233.222	      49.772	                  ---	       0.168	
     1546.12	    -213.212	      49.839	                  ---	       0.168	
     1546.52	    -193.203	      49.906	                  ---	       0.168	
     1546.92	    -173.492	      49.974	                  ---	       0.168	
     1547.32	    -153.482	      50.041	                  ---	       0.168	
     1547.72	    -133.473	      50.108	                  ---	       0.168	
     1548.11	    -113.164	      50.175	                  ---	       0.168	
     1548.51	     -93.155	      50.243	                  ---	       0.168	
     1548.91	     -73.145	      50.310	                  ---	       0.168	
     1549.32	     -52.837	      50.378	                  ---	       0.168	
     1549.72	     -32.827	      50.445	                  ---	       0.168	
     1550.12	     -12.519	      50.512	                  ---	       0.168	
     1550.52	       7.490	      50.579	                  ---	       0.168	
     1550.92	      27.799	      50.646	                  ---	       0.168	
     1551.32	      48.107	      50.713	                  ---	       0.168	
     1551.72	      68.415	      50.780	                  ---	       0.168	
     1552.12	      88.723	      50.849	                  ---	       0.168	
     1552.52	     109.031	      50.916	                  ---	       0.168	
     1552.93	     129.638	      50.983	                  ---	       0.168	
     1553.33	     149.947	      51.050	                  ---	       0.168	
     1553.73	     170.255	      51.117	                  ---	       0.168	
     1554.13	     190.862	      51.184	                  ---	       0.168	
     1554.54	     211.170	      51.251	                  ---	       0.168	
     1554.94	     231.777	      51.318	                  ---	       0.168	
     1555.34	     252.384	      51.385	                  ---	       0.168	
     1555.75	     272.990	      51.454	                  ---	       0.168	
     1556.15	     295.986	      51.528	                  ---	       0.168	
     1556.55	     316.593	      51.596	                  ---	       0.168	
     1556.96	     337.499	      51.664	                  ---	       0.168	
     1557.36	     358.106	      51.731	                  ---	       0.168	
     1557.77	     378.713	      51.798	                  ---	       0.168	
     1558.17	     399.618	      51.865	                  ---	       0.168	
     1558.58	     420.225	      51.932	                  ---	       0.168	
     1558.98	     441.130	      52.000	                  ---	       0.168	
     1559.39	     461.737	      52.067	                  ---	       0.168	
     1559.79	     482.643	      52.134	                  ---	       0.168	
     1560.20	     506.236	      52.210	                  ---	       0.168	
     1560.61	     527.142	      52.277	                  ---	       0.168	
