[Header]
Date        	30/06/2016
Time        	17:36
File Name   	CABLE-smf-5km-2
Soft Version	7.38
Base Name   	T-BERD 8000
Base SN     	10807
Module Name	81DISPAP
Module SN   	1338
Status      	PASS
Operator    	
Comment     	
BBS Type    	BBS-SCL
BBS SN      	0
Ref. Date   	30/06/2016 17:02

[Fiber]
Origin                	abc
Extremity             	xyz
Direction             	abc -> xyz
Cable Id Origin       	CABLE
Fiber Id Origin       	FIBER
Fiber Code Origin     	
Cable Id Extremity    	CABLE
Fiber Id Extremity    	FIBER
Fiber Code Extremity  	

[Setup]
Lambda Range        	1260-1640
Fiber Length        	Unknown
Approx. formula     	Quadratic
Normalized to km    	No

[Results]
Lambda 0	1266.61 nm
Slope S0	0.2957 ps/nm.nm

Wavelength(nm)	Delay(ps)	Disp.(ps/nm)	Coef. Disp.(ps/nm.km)	Slope(ps/nm.nm)	
     1528.77	   -1736.434	      77.506	                  ---	       0.296	
     1529.16	   -1705.174	      77.624	                  ---	       0.296	
     1529.55	   -1674.394	      77.742	                  ---	       0.296	
     1529.94	   -1646.981	      77.847	                  ---	       0.296	
     1530.33	   -1615.721	      77.965	                  ---	       0.296	
     1530.72	   -1584.942	      78.083	                  ---	       0.296	
     1531.12	   -1553.681	      78.201	                  ---	       0.296	
     1531.51	   -1522.421	      78.319	                  ---	       0.296	
     1531.90	   -1495.008	      78.424	                  ---	       0.296	
     1532.29	   -1463.748	      78.542	                  ---	       0.296	
     1532.68	   -1432.488	      78.660	                  ---	       0.296	
     1533.07	   -1400.746	      78.778	                  ---	       0.296	
     1533.47	   -1369.486	      78.896	                  ---	       0.296	
     1533.86	   -1337.745	      79.013	                  ---	       0.296	
     1534.25	   -1306.004	      79.131	                  ---	       0.296	
     1534.64	   -1278.591	      79.236	                  ---	       0.296	
     1535.04	   -1246.849	      79.354	                  ---	       0.296	
     1535.43	   -1215.108	      79.472	                  ---	       0.296	
     1535.82	   -1182.886	      79.590	                  ---	       0.296	
     1536.22	   -1151.145	      79.708	                  ---	       0.296	
     1536.61	   -1119.404	      79.826	                  ---	       0.296	
     1537.00	   -1087.181	      79.947	                  ---	       0.296	
     1537.40	   -1059.288	      80.049	                  ---	       0.296	
     1537.79	   -1027.065	      80.167	                  ---	       0.296	
     1538.19	    -995.324	      80.285	                  ---	       0.296	
     1538.58	    -963.102	      80.403	                  ---	       0.296	
     1538.98	    -930.880	      80.521	                  ---	       0.296	
     1539.37	    -898.658	      80.642	                  ---	       0.296	
     1539.77	    -866.436	      80.760	                  ---	       0.296	
     1540.16	    -834.213	      80.877	                  ---	       0.296	
     1540.56	    -801.510	      80.995	                  ---	       0.296	
     1540.95	    -769.288	      81.113	                  ---	       0.296	
     1541.35	    -740.913	      81.216	                  ---	       0.296	
     1541.75	    -708.210	      81.336	                  ---	       0.296	
     1542.14	    -675.988	      81.454	                  ---	       0.296	
     1542.54	    -643.285	      81.572	                  ---	       0.296	
     1542.94	    -610.582	      81.690	                  ---	       0.296	
     1543.33	    -577.879	      81.808	                  ---	       0.296	
     1543.73	    -545.176	      81.926	                  ---	       0.296	
     1544.13	    -512.473	      82.044	                  ---	       0.296	
     1544.53	    -479.289	      82.162	                  ---	       0.296	
     1544.92	    -446.586	      82.283	                  ---	       0.296	
     1545.32	    -413.402	      82.401	                  ---	       0.296	
     1545.72	    -380.699	      82.519	                  ---	       0.296	
     1546.12	    -347.515	      82.637	                  ---	       0.296	
     1546.52	    -314.331	      82.755	                  ---	       0.296	
     1546.92	    -281.146	      82.873	                  ---	       0.296	
     1547.32	    -248.443	      82.991	                  ---	       0.296	
     1547.72	    -214.778	      83.109	                  ---	       0.296	
     1548.11	    -181.594	      83.227	                  ---	       0.296	
     1548.51	    -148.411	      83.347	                  ---	       0.296	
     1548.91	    -115.226	      83.465	                  ---	       0.296	
     1549.32	     -81.562	      83.583	                  ---	       0.296	
     1549.72	     -48.377	      83.701	                  ---	       0.296	
     1550.12	     -14.713	      83.819	                  ---	       0.296	
     1550.52	      18.952	      83.937	                  ---	       0.296	
     1550.92	      52.617	      84.055	                  ---	       0.296	
     1551.32	      86.282	      84.173	                  ---	       0.296	
     1551.72	     119.947	      84.291	                  ---	       0.296	
     1552.12	     153.612	      84.411	                  ---	       0.296	
     1552.52	     187.277	      84.529	                  ---	       0.296	
     1552.93	     221.423	      84.647	                  ---	       0.296	
     1553.33	     255.088	      84.765	                  ---	       0.296	
     1553.73	     289.234	      84.883	                  ---	       0.296	
     1554.13	     322.899	      85.001	                  ---	       0.296	
     1554.54	     357.045	      85.119	                  ---	       0.296	
     1554.94	     391.190	      85.237	                  ---	       0.296	
     1555.34	     425.336	      85.355	                  ---	       0.296	
     1555.75	     459.482	      85.476	                  ---	       0.296	
     1556.15	     497.957	      85.607	                  ---	       0.296	
     1556.55	     532.102	      85.725	                  ---	       0.296	
     1556.96	     566.248	      85.846	                  ---	       0.296	
     1557.36	     600.875	      85.964	                  ---	       0.296	
     1557.77	     635.021	      86.082	                  ---	       0.296	
     1558.17	     669.648	      86.199	                  ---	       0.296	
     1558.58	     704.274	      86.317	                  ---	       0.296	
     1558.98	     738.901	      86.435	                  ---	       0.296	
     1559.39	     773.528	      86.553	                  ---	       0.296	
     1559.79	     808.155	      86.671	                  ---	       0.296	
     1560.20	     847.110	      86.805	                  ---	       0.296	
     1560.61	     881.737	      86.923	                  ---	       0.296	
