[Header]
Date        	30/06/2016
Time        	17:34
File Name   	CABLE-smf-10km-2
Soft Version	7.38
Base Name   	T-BERD 8000
Base SN     	10807
Module Name	81DISPAP
Module SN   	1338
Status      	PASS
Operator    	
Comment     	
BBS Type    	BBS-SCL
BBS SN      	0
Ref. Date   	30/06/2016 17:02

[Fiber]
Origin                	abc
Extremity             	xyz
Direction             	abc -> xyz
Cable Id Origin       	CABLE
Fiber Id Origin       	FIBER
Fiber Code Origin     	
Cable Id Extremity    	CABLE
Fiber Id Extremity    	FIBER
Fiber Code Extremity  	

[Setup]
Lambda Range        	1260-1640
Fiber Length        	Unknown
Approx. formula     	Quadratic
Normalized to km    	No

[Results]
Lambda 0	1280.02 nm
Slope S0	0.6203 ps/nm.nm

Wavelength(nm)	Delay(ps)	Disp.(ps/nm)	Coef. Disp.(ps/nm.km)	Slope(ps/nm.nm)	
     1528.77	   -3475.529	     154.289	                  ---	       0.620	
     1529.16	   -3414.571	     154.536	                  ---	       0.620	
     1529.55	   -3352.675	     154.784	                  ---	       0.620	
     1529.94	   -3298.282	     155.004	                  ---	       0.620	
     1530.33	   -3236.386	     155.252	                  ---	       0.620	
     1530.72	   -3173.553	     155.499	                  ---	       0.620	
     1531.12	   -3111.657	     155.747	                  ---	       0.620	
     1531.51	   -3048.823	     155.994	                  ---	       0.620	
     1531.90	   -2994.430	     156.214	                  ---	       0.620	
     1532.29	   -2932.534	     156.462	                  ---	       0.620	
     1532.68	   -2869.701	     156.709	                  ---	       0.620	
     1533.07	   -2806.867	     156.957	                  ---	       0.620	
     1533.47	   -2744.033	     157.204	                  ---	       0.620	
     1533.86	   -2681.200	     157.452	                  ---	       0.620	
     1534.25	   -2618.366	     157.699	                  ---	       0.620	
     1534.64	   -2563.973	     157.919	                  ---	       0.620	
     1535.04	   -2500.202	     158.167	                  ---	       0.620	
     1535.43	   -2437.368	     158.414	                  ---	       0.620	
     1535.82	   -2373.597	     158.662	                  ---	       0.620	
     1536.22	   -2309.825	     158.909	                  ---	       0.620	
     1536.61	   -2246.992	     159.157	                  ---	       0.620	
     1537.00	   -2183.220	     159.410	                  ---	       0.620	
     1537.40	   -2126.951	     159.624	                  ---	       0.620	
     1537.79	   -2063.180	     159.872	                  ---	       0.620	
     1538.19	   -1999.409	     160.119	                  ---	       0.620	
     1538.58	   -1934.699	     160.367	                  ---	       0.620	
     1538.98	   -1870.928	     160.614	                  ---	       0.620	
     1539.37	   -1806.219	     160.867	                  ---	       0.620	
     1539.77	   -1742.447	     161.115	                  ---	       0.620	
     1540.16	   -1677.738	     161.362	                  ---	       0.620	
     1540.56	   -1613.029	     161.610	                  ---	       0.620	
     1540.95	   -1548.320	     161.857	                  ---	       0.620	
     1541.35	   -1492.051	     162.072	                  ---	       0.620	
     1541.75	   -1426.404	     162.325	                  ---	       0.620	
     1542.14	   -1361.695	     162.572	                  ---	       0.620	
     1542.54	   -1296.985	     162.820	                  ---	       0.620	
     1542.94	   -1231.338	     163.067	                  ---	       0.620	
     1543.33	   -1166.629	     163.315	                  ---	       0.620	
     1543.73	   -1100.982	     163.562	                  ---	       0.620	
     1544.13	   -1035.335	     163.810	                  ---	       0.620	
     1544.53	    -969.688	     164.057	                  ---	       0.620	
     1544.92	    -904.041	     164.310	                  ---	       0.620	
     1545.32	    -838.394	     164.558	                  ---	       0.620	
     1545.72	    -772.747	     164.805	                  ---	       0.620	
     1546.12	    -706.162	     165.053	                  ---	       0.620	
     1546.52	    -640.515	     165.300	                  ---	       0.620	
     1546.92	    -573.930	     165.548	                  ---	       0.620	
     1547.32	    -508.283	     165.795	                  ---	       0.620	
     1547.72	    -441.698	     166.043	                  ---	       0.620	
     1548.11	    -375.114	     166.290	                  ---	       0.620	
     1548.51	    -308.529	     166.544	                  ---	       0.620	
     1548.91	    -241.944	     166.791	                  ---	       0.620	
     1549.32	    -175.359	     167.039	                  ---	       0.620	
     1549.72	    -108.774	     167.286	                  ---	       0.620	
     1550.12	     -41.251	     167.534	                  ---	       0.620	
     1550.52	      25.333	     167.781	                  ---	       0.620	
     1550.92	      92.856	     168.029	                  ---	       0.620	
     1551.32	     160.379	     168.276	                  ---	       0.620	
     1551.72	     227.901	     168.524	                  ---	       0.620	
     1552.12	     295.424	     168.777	                  ---	       0.620	
     1552.52	     362.947	     169.024	                  ---	       0.620	
     1552.93	     430.469	     169.272	                  ---	       0.620	
     1553.33	     497.992	     169.519	                  ---	       0.620	
     1553.73	     565.515	     169.767	                  ---	       0.620	
     1554.13	     633.975	     170.014	                  ---	       0.620	
     1554.54	     701.498	     170.262	                  ---	       0.620	
     1554.94	     769.958	     170.509	                  ---	       0.620	
     1555.34	     838.419	     170.757	                  ---	       0.620	
     1555.75	     906.879	     171.010	                  ---	       0.620	
     1556.15	     983.780	     171.285	                  ---	       0.620	
     1556.55	    1052.240	     171.532	                  ---	       0.620	
     1556.96	    1120.701	     171.785	                  ---	       0.620	
     1557.36	    1189.161	     172.033	                  ---	       0.620	
     1557.77	    1258.560	     172.280	                  ---	       0.620	
     1558.17	    1327.020	     172.528	                  ---	       0.620	
     1558.58	    1396.418	     172.775	                  ---	       0.620	
     1558.98	    1465.817	     173.023	                  ---	       0.620	
     1559.39	    1535.215	     173.270	                  ---	       0.620	
     1559.79	    1604.613	     173.518	                  ---	       0.620	
     1560.20	    1682.452	     173.798	                  ---	       0.620	
     1560.61	    1751.850	     174.046	                  ---	       0.620	
