[Header]
Date        	30/06/2016
Time        	17:29
File Name   	CABLE-smf-5km-1
Soft Version	7.38
Base Name   	T-BERD 8000
Base SN     	10807
Module Name	81DISPAP
Module SN   	1338
Status      	PASS
Operator    	
Comment     	
BBS Type    	BBS-SCL
BBS SN      	0
Ref. Date   	30/06/2016 17:02

[Fiber]
Origin                	abc
Extremity             	xyz
Direction             	abc -> xyz
Cable Id Origin       	CABLE
Fiber Id Origin       	FIBER
Fiber Code Origin     	
Cable Id Extremity    	CABLE
Fiber Id Extremity    	FIBER
Fiber Code Extremity  	

[Setup]
Lambda Range        	1260-1640
Fiber Length        	Unknown
Approx. formula     	Quadratic
Normalized to km    	No

[Results]
Wavelength(nm)	Delay(ps)	Disp.(ps/nm)	Coef. Disp.(ps/nm.km)	Slope(ps/nm.nm)	
     1528.77	   -1756.612	      78.237	                  ---	       0.284	
     1529.16	   -1724.899	      78.351	                  ---	       0.284	
     1529.55	   -1693.682	      78.464	                  ---	       0.284	
     1529.94	   -1666.429	      78.565	                  ---	       0.284	
     1530.33	   -1634.716	      78.678	                  ---	       0.284	
     1530.72	   -1603.498	      78.791	                  ---	       0.284	
     1531.12	   -1571.785	      78.904	                  ---	       0.284	
     1531.51	   -1540.072	      79.018	                  ---	       0.284	
     1531.90	   -1512.324	      79.118	                  ---	       0.284	
     1532.29	   -1480.611	      79.232	                  ---	       0.284	
     1532.68	   -1448.898	      79.345	                  ---	       0.284	
     1533.07	   -1417.185	      79.458	                  ---	       0.284	
     1533.47	   -1385.472	      79.571	                  ---	       0.284	
     1533.86	   -1353.759	      79.685	                  ---	       0.284	
     1534.25	   -1322.046	      79.798	                  ---	       0.284	
     1534.64	   -1293.802	      79.898	                  ---	       0.284	
     1535.04	   -1262.089	      80.012	                  ---	       0.284	
     1535.43	   -1229.880	      80.125	                  ---	       0.284	
     1535.82	   -1197.672	      80.238	                  ---	       0.284	
     1536.22	   -1165.463	      80.352	                  ---	       0.284	
     1536.61	   -1133.255	      80.465	                  ---	       0.284	
     1537.00	   -1101.047	      80.581	                  ---	       0.284	
     1537.40	   -1073.298	      80.679	                  ---	       0.284	
     1537.79	   -1040.594	      80.792	                  ---	       0.284	
     1538.19	   -1008.385	      80.905	                  ---	       0.284	
     1538.58	    -976.177	      81.018	                  ---	       0.284	
     1538.98	    -943.473	      81.132	                  ---	       0.284	
     1539.37	    -911.264	      81.248	                  ---	       0.284	
     1539.77	    -878.560	      81.361	                  ---	       0.284	
     1540.16	    -845.856	      81.474	                  ---	       0.284	
     1540.56	    -813.648	      81.587	                  ---	       0.284	
     1540.95	    -780.944	      81.701	                  ---	       0.284	
     1541.35	    -752.204	      81.799	                  ---	       0.284	
     1541.75	    -719.500	      81.914	                  ---	       0.284	
     1542.14	    -686.796	      82.028	                  ---	       0.284	
     1542.54	    -653.597	      82.141	                  ---	       0.284	
     1542.94	    -620.893	      82.254	                  ---	       0.284	
     1543.33	    -588.189	      82.368	                  ---	       0.284	
     1543.73	    -554.989	      82.481	                  ---	       0.284	
     1544.13	    -521.790	      82.594	                  ---	       0.284	
     1544.53	    -489.086	      82.707	                  ---	       0.284	
     1544.92	    -455.886	      82.823	                  ---	       0.284	
     1545.32	    -422.687	      82.936	                  ---	       0.284	
     1545.72	    -389.488	      83.050	                  ---	       0.284	
     1546.12	    -356.288	      83.163	                  ---	       0.284	
     1546.52	    -323.089	      83.276	                  ---	       0.284	
     1546.92	    -289.394	      83.389	                  ---	       0.284	
     1547.32	    -256.194	      83.503	                  ---	       0.284	
     1547.72	    -222.995	      83.616	                  ---	       0.284	
     1548.11	    -189.300	      83.729	                  ---	       0.284	
     1548.51	    -155.605	      83.845	                  ---	       0.284	
     1548.91	    -122.405	      83.958	                  ---	       0.284	
     1549.32	     -88.710	      84.071	                  ---	       0.284	
     1549.72	     -55.015	      84.185	                  ---	       0.284	
     1550.12	     -21.320	      84.298	                  ---	       0.284	
     1550.52	      12.375	      84.411	                  ---	       0.284	
     1550.92	      46.070	      84.524	                  ---	       0.284	
     1551.32	      80.260	      84.638	                  ---	       0.284	
     1551.72	     113.955	      84.751	                  ---	       0.284	
     1552.12	     147.650	      84.867	                  ---	       0.284	
     1552.52	     181.841	      84.980	                  ---	       0.284	
     1552.93	     216.031	      85.093	                  ---	       0.284	
     1553.33	     249.726	      85.207	                  ---	       0.284	
     1553.73	     283.917	      85.320	                  ---	       0.284	
     1554.13	     318.107	      85.433	                  ---	       0.284	
     1554.54	     352.298	      85.546	                  ---	       0.284	
     1554.94	     386.488	      85.660	                  ---	       0.284	
     1555.34	     420.679	      85.773	                  ---	       0.284	
     1555.75	     455.365	      85.889	                  ---	       0.284	
     1556.15	     494.015	      86.014	                  ---	       0.284	
     1556.55	     528.206	      86.128	                  ---	       0.284	
     1556.96	     562.892	      86.243	                  ---	       0.284	
     1557.36	     597.082	      86.357	                  ---	       0.284	
     1557.77	     631.768	      86.470	                  ---	       0.284	
     1558.17	     666.454	      86.583	                  ---	       0.284	
     1558.58	     701.140	      86.697	                  ---	       0.284	
     1558.98	     735.826	      86.810	                  ---	       0.284	
     1559.39	     770.512	      86.923	                  ---	       0.284	
     1559.79	     805.198	      87.036	                  ---	       0.284	
     1560.20	     844.344	      87.165	                  ---	       0.284	
     1560.61	     879.525	      87.278	                  ---	       0.284	
